	sample	project	path
0	Sample1	myotis_project	/home/asgurkan/Documents/population_genomics/data/raw/short_deneme.vcf
1	Sample2	myotis_project	/home/asgurkan/Documents/population_genomics/data/raw/short_deneme.vcf
